eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
400, 0, 0, 4095, 359, 174, 0, 34.61, 60.62, 0.9242607
409, 1, 0, 4095, 368, 155, 0, 34.65, 60.26, 0.7922234
410, 1, 0, 4095, 401, 83, 0, 34.63, 57.25, 1.056298
463, 9, 0, 4095, 428, 74, 0, 34.61, 57.91, 1.012285
524, 18, 0, 4095, 417, 106, 0, 34.54, 59.62, 0.4841365
492, 14, 0, 4095, 443, 77, 0, 34.54, 59.97, 0.7041986
545, 22, 0, 4095, 435, 64, 0, 34.48, 61.58, 1.27636
545, 22, 0, 4095, 455, 99, 0, 34.47, 61.9, 1.10031
478, 11, 0, 4095, 448, 58, 0, 34.40, 60.88, 1.144323
424, 3, 0, 4095, 482, 103, 0, 34.45, 59.4, 1.27636
461, 9, 0, 4095, 482, 81, 0, 34.26, 60.34, 0.7922234
524, 18, 0, 4095, 467, 106, 0, 34.24, 62.9, 0.8362359
542, 21, 0, 4095, 474, 79, 0, 34.31, 61.58, 1.056298
553, 23, 0, 4095, 492, 112, 0, 34.27, 61.55, 1.144323
592, 29, 0, 4095, 483, 74, 0, 34.24, 62.99, 0.9242607
536, 20, 0, 4095, 493, 107, 0, 34.21, 61.24, 1.364385
548, 22, 0, 4095, 498, 99, 0, 34.17, 62.13, 1.10031
463, 9, 0, 4095, 507, 87, 0, 34.31, 59.1, 0.9242607
546, 22, 0, 4095, 496, 70, 0, 34.33, 59.67, 1.320372
570, 25, 0, 4095, 511, 76, 0, 34.34, 61.83, 1.408397
572, 26, 0, 4095, 510, 114, 0, 34.35, 62.74, 1.012285
637, 36, 0, 4095, 508, 94, 0, 34.26, 63.16, 0.7922234
518, 17, 0, 4095, 499, 102, 0, 34.24, 60.67, 1.144323
523, 18, 0, 4095, 496, 105, 0, 34.20, 60.15, 0.8802483
530, 19, 0, 4095, 521, 105, 0, 34.27, 60.76, 1.012285
572, 26, 0, 4095, 492, 61, 0, 34.27, 61.0, 0.8362359
600, 30, 0, 4095, 496, 69, 0, 34.24, 62.67, 0.7041986
633, 35, 0, 4095, 526, 99, 0, 34.31, 61.60, 0.08802483
665, 40, 0, 4095, 505, 111, 0, 34.30, 61.23, 0.0
714, 47, 0, 4095, 522, 62, 0, 34.38, 61.97, 0.0
682, 42, 0, 4095, 530, 102, 0, 34.33, 62.51, 1.364385
533, 20, 0, 4095, 523, 80, 0, 34.41, 59.56, 1.012285
560, 24, 0, 4095, 529, 99, 0, 34.40, 60.82, 0.8802483
629, 34, 0, 4095, 522, 64, 0, 34.30, 61.4, 0.9242607
653, 38, 0, 4095, 542, 70, 0, 34.34, 61.67, 0.748211
643, 37, 0, 4095, 522, 111, 0, 34.45, 61.66, 0.8362359
714, 47, 0, 4095, 545, 67, 0, 34.38, 62.33, 0.8362359
765, 55, 0, 4095, 545, 113, 0, 34.38, 63.19, 1.10031
633, 35, 0, 4095, 528, 66, 0, 34.45, 62.65, 0.9242607
688, 43, 0, 4095, 511, 102, 0, 34.41, 62.30, 1.056298
599, 30, 0, 4095, 533, 102, 0, 34.55, 61.85, 0.9242607
672, 41, 0, 4095, 530, 56, 0, 34.54, 59.96, 1.056298
665, 40, 0, 4095, 555, 59, 1, 34.45, 58.72, 1.012285
629, 34, 0, 4095, 547, 62, 0, 34.61, 59.93, 0.04401241
732, 50, 0, 4095, 550, 71, 0, 34.58, 60.56, 0.0
832, 65, 0, 4095, 547, 65, 0, 34.66, 60.13, 0.0
872, 71, 0, 4095, 549, 66, 0, 34.68, 60.24, 0.0
972, 87, 0, 4095, 528, 117, 0, 34.62, 60.66, 0.0
920, 79, 0, 4095, 543, 117, 2, 34.66, 60.85, 0.0
1110, 108, 0, 4095, 531, 90, 0, 34.81, 62.6, 0.0
1288, 135, 0, 4095, 528, 135, 11, 34.73, 61.72, 0.0
1077, 103, 0, 4095, 547, 145, 0, 34.88, 61.44, 0.0
961, 85, 0, 4095, 544, 106, 0, 34.70, 60.61, 0.0
870, 71, 0, 4095, 544, 131, 0, 34.72, 60.94, 0.0
780, 57, 0, 4095, 557, 126, 0, 34.75, 60.34, 0.0
851, 68, 0, 4095, 537, 67, 0, 34.82, 59.68, 0.0
872, 71, 0, 4095, 528, 91, 0, 34.88, 60.46, 0.0
887, 74, 0, 4095, 518, 122, 0, 34.81, 60.78, 0.0
808, 62, 0, 4095, 518, 98, 0, 34.84, 61.52, 0.0
690, 44, 0, 4095, 535, 118, 0, 34.76, 60.56, 0.0
570, 25, 0, 4095, 533, 65, 0, 34.82, 60.19, 0.0
607, 31, 0, 4095, 539, 81, 0, 34.70, 60.12, 0.0
518, 17, 0, 4095, 546, 117, 0, 34.78, 60.18, 0.0
615, 32, 0, 4095, 529, 79, 0, 34.72, 60.70, 0.0
690, 44, 0, 4095, 548, 109, 0, 34.84, 61.42, 0.0
607, 31, 0, 4095, 525, 63, 0, 34.65, 60.9, 0.0
768, 56, 0, 4095, 555, 101, 0, 34.84, 59.66, 0.0
813, 62, 0, 4095, 545, 80, 0, 34.90, 60.61, 0.0
795, 60, 0, 4095, 547, 105, 0, 34.88, 61.40, 0.0
712, 47, 0, 4095, 528, 71, 0, 34.93, 60.50, 0.0
765, 55, 0, 4095, 544, 69, 0, 34.93, 61.8, 1.232347
870, 71, 0, 4095, 554, 82, 0, 34.96, 61.25, 1.056298
848, 68, 0, 4095, 533, 87, 0, 34.93, 61.49, 1.056298
795, 60, 0, 4095, 557, 112, 6, 34.97, 58.45, 0.9242607
832, 65, 0, 4095, 538, 128, 0, 34.96, 59.19, 0.7922234
682, 42, 0, 4095, 544, 80, 0, 35.3, 60.47, 0.5281489
863, 70, 0, 4095, 540, 85, 0, 35.7, 61.97, 1.320372
682, 42, 0, 4095, 535, 112, 0, 34.96, 61.42, 1.012285
542, 21, 0, 4095, 541, 64, 0, 34.92, 60.71, 0.9682731
536, 20, 0, 4095, 539, 98, 0, 34.99, 60.4, 1.188335
