eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed, O2
400, 0, 0, 0, 128, 0, 993, 34.32, 63.82, 0.7922234, 4095
416, 2, 0, 0, 150, 0, 871, 34.16, 63.95, 0.8362359, 4095
400, 0, 0, 0, 175, 0, 841, 34.12, 64.65, 0.6161737, 4095
445, 6, 0, 0, 167, 0, 800, 34.16, 63.49, 1.012285, 4095
476, 11, 0, 0, 190, 0, 798, 34.11, 63.65, 0.748211, 4095
466, 10, 0, 0, 198, 0, 788, 34.14, 64.16, 0.6161737, 4095
448, 7, 0, 0, 203, 0, 847, 34.5, 63.39, 1.012285, 4095
443, 6, 0, 0, 219, 0, 877, 33.97, 61.61, 0.6601862, 4095
464, 9, 0, 0, 235, 0, 829, 33.86, 62.53, 0.8362359, 4095
498, 14, 0, 0, 239, 0, 824, 33.87, 63.50, 0.9242607, 4095
464, 9, 0, 0, 223, 0, 798, 33.95, 65.59, 1.012285, 4095
542, 21, 0, 0, 237, 0, 810, 33.97, 65.64, 1.012285, 4095
527, 19, 0, 0, 253, 0, 789, 34.2, 65.19, 0.6601862, 4095
569, 25, 0, 0, 253, 0, 807, 34.12, 64.4, 0.8802483, 4095
464, 9, 0, 0, 241, 0, 790, 34.11, 62.99, 0.748211, 4095
503, 15, 0, 0, 271, 0, 784, 34.23, 62.75, 0.748211, 4095
470, 10, 0, 0, 259, 0, 802, 34.14, 62.55, 0.8362359, 4095
774, 56, 0, 0, 256, 0, 777, 34.5, 62.59, 0.9242607, 4095
1338, 142, 0, 0, 265, 0, 766, 33.94, 61.93, 1.188335, 4095
679, 42, 0, 0, 272, 0, 778, 33.86, 63.3, 0.9682731, 4095
623, 33, 0, 0, 282, 0, 754, 33.99, 63.17, 1.144323, 4095
679, 42, 0, 0, 269, 0, 816, 33.88, 62.40, 0.8802483, 4095
530, 19, 0, 0, 282, 0, 767, 33.90, 62.67, 1.232347, 4095
612, 32, 0, 0, 289, 0, 782, 33.91, 63.9, 0.9242607, 4095
612, 32, 0, 0, 273, 0, 779, 34.4, 64.71, 0.0, 4095
706, 46, 0, 0, 287, 0, 754, 33.97, 64.48, 0.0, 4095
733, 50, 0, 0, 289, 0, 801, 33.90, 64.19, 0.0, 4095
675, 41, 0, 0, 304, 0, 743, 33.94, 63.61, 0.0, 4095
675, 41, 0, 0, 305, 0, 805, 33.97, 62.81, 0.0, 4095
536, 20, 0, 0, 287, 0, 788, 33.91, 63.3, 0.0, 4095
460, 9, 0, 0, 305, 0, 766, 33.77, 61.77, 0.0, 4095
592, 29, 0, 0, 310, 0, 758, 33.77, 62.14, 0.0, 4095
592, 29, 0, 0, 307, 0, 783, 33.71, 63.30, 0.0, 4095
539, 21, 0, 0, 301, 0, 784, 33.80, 62.86, 0.0, 4095
517, 17, 0, 0, 336, 0, 777, 33.63, 63.25, 0.0, 4095
505, 15, 0, 0, 326, 0, 784, 33.77, 62.93, 0.0, 4095
634, 35, 0, 0, 310, 0, 810, 33.71, 63.66, 0.0, 4095
596, 29, 0, 0, 327, 0, 794, 33.74, 65.54, 0.0, 4095
575, 26, 0, 0, 320, 0, 789, 33.64, 64.32, 0.0, 4095
586, 28, 0, 0, 315, 0, 767, 33.70, 64.5, 0.0, 4095
612, 32, 0, 0, 315, 0, 747, 33.84, 64.60, 0.0, 4095
515, 17, 0, 0, 330, 0, 778, 33.80, 63.48, 0.0, 4095
566, 25, 0, 0, 306, 0, 752, 33.87, 66.9, 0.0, 4095
527, 19, 0, 0, 304, 0, 740, 33.94, 66.21, 0.0, 4095
491, 13, 0, 0, 321, 0, 752, 33.99, 65.9, 1.012285, 4095
533, 20, 0, 0, 305, 0, 784, 34.1, 64.27, 0.9682731, 4095
443, 6, 0, 0, 313, 0, 768, 34.6, 63.1, 0.7922234, 4095
482, 12, 0, 0, 309, 0, 725, 34.2, 63.90, 0.8362359, 4095
493, 14, 0, 0, 304, 0, 736, 34.9, 64.66, 0.8802483, 4095
493, 14, 0, 0, 304, 0, 718, 34.11, 64.44, 1.10031, 4095
503, 15, 0, 0, 327, 0, 735, 34.15, 64.69, 0.6161737, 4095
536, 20, 0, 0, 321, 0, 742, 34.23, 64.77, 6.909948, 4095
478, 11, 0, 0, 318, 0, 724, 34.29, 64.72, 0.0, 4095
503, 15, 0, 0, 310, 0, 737, 34.26, 64.67, 0.0, 4095
524, 18, 0, 0, 310, 0, 704, 34.38, 63.99, 0.0, 4095
488, 13, 0, 0, 303, 0, 691, 34.42, 63.89, 0.0, 4095
536, 20, 0, 0, 313, 0, 747, 34.31, 62.34, 0.0, 4095
615, 32, 0, 0, 313, 0, 714, 34.42, 63.9, 0.0, 4095
527, 19, 0, 0, 311, 0, 720, 34.35, 63.57, 0.0, 4095
480, 12, 0, 0, 331, 0, 726, 34.36, 64.8, 0.0, 4095
678, 42, 0, 0, 337, 0, 720, 34.32, 62.74, 0.0, 4095
580, 27, 0, 0, 339, 0, 699, 34.32, 61.39, 0.0, 4095
456, 8, 0, 0, 334, 0, 703, 34.36, 61.87, 0.0, 4095
520, 18, 0, 0, 327, 0, 706, 34.46, 61.9, 0.0, 4095
483, 12, 0, 0, 343, 0, 704, 34.45, 60.58, 0.0, 4095
483, 12, 0, 0, 329, 0, 722, 34.51, 60.62, 0.0, 4095
462, 9, 0, 0, 337, 0, 690, 34.50, 62.54, 0.0, 4095
569, 25, 0, 0, 327, 0, 678, 34.60, 62.96, 0.0, 4095
534, 20, 0, 0, 349, 0, 709, 34.50, 60.53, 0.0, 4095
560, 24, 0, 0, 349, 0, 705, 34.39, 60.7, 0.0, 4095
518, 17, 0, 0, 336, 0, 698, 34.33, 60.18, 0.0, 4095
502, 15, 0, 0, 338, 0, 703, 34.43, 62.55, 0.0, 4095
551, 23, 0, 0, 337, 0, 694, 34.43, 62.16, 0.0, 4095
548, 22, 0, 0, 343, 0, 681, 34.47, 62.40, 0.0, 4095
581, 27, 0, 0, 336, 0, 731, 34.60, 63.38, 0.0, 4095
536, 20, 0, 0, 340, 0, 690, 34.61, 63.71, 1.716484, 4095
548, 22, 0, 0, 323, 0, 706, 34.66, 63.72, 1.27636, 4095
456, 8, 0, 0, 347, 0, 706, 34.63, 61.49, 0.8362359, 4095
454, 8, 0, 0, 341, 0, 705, 34.59, 62.11, 0.9682731, 4095
445, 6, 0, 0, 339, 0, 716, 34.60, 61.52, 0.8362359, 4095
464, 9, 0, 0, 343, 0, 701, 34.50, 60.76, 0.8362359, 4095
456, 8, 0, 0, 353, 0, 687, 34.61, 60.28, 1.012285, 4095
443, 6, 0, 0, 343, 0, 709, 34.50, 60.10, 0.7922234, 4095
487, 13, 0, 0, 347, 0, 677, 34.46, 60.73, 0.748211, 4095
443, 6, 0, 0, 347, 0, 688, 34.47, 61.12, 1.056298, 4095
476, 11, 0, 0, 353, 0, 710, 34.63, 61.35, 1.012285, 4095
498, 14, 0, 0, 349, 0, 720, 34.43, 60.10, 1.056298, 4095
524, 18, 0, 0, 342, 0, 693, 34.47, 60.67, 1.188335, 4095
531, 19, 0, 0, 350, 0, 687, 34.49, 60.84, 1.056298, 4095
602, 30, 0, 0, 343, 0, 687, 34.54, 62.68, 0.8802483, 4095
570, 25, 0, 0, 355, 0, 706, 34.61, 63.10, 0.748211, 4095
602, 30, 0, 0, 340, 0, 669, 34.73, 61.87, 1.320372, 4095
552, 23, 0, 0, 337, 0, 674, 34.63, 59.91, 1.364385, 4095
620, 33, 0, 0, 351, 0, 711, 34.67, 61.8, 2.068583, 4095
611, 32, 0, 0, 350, 0, 752, 34.68, 60.39, 0.0, 4095
665, 40, 0, 0, 359, 0, 704, 34.71, 61.75, 0.0, 4095
646, 37, 0, 0, 338, 0, 718, 34.71, 61.4, 0.0, 4095
668, 40, 0, 0, 356, 0, 718, 34.70, 61.64, 0.0, 4095
653, 38, 0, 0, 349, 0, 720, 34.81, 61.91, 0.0, 4095
612, 32, 0, 0, 349, 0, 699, 34.71, 61.39, 0.0, 4095
694, 44, 0, 0, 342, 0, 706, 34.68, 60.59, 0.0, 4095
520, 18, 0, 0, 363, 0, 717, 34.68, 60.61, 0.0, 4095
594, 29, 0, 0, 337, 0, 691, 34.63, 61.0, 0.0, 4095
678, 42, 0, 0, 347, 0, 674, 34.73, 61.44, 0.0, 4095
623, 33, 0, 0, 337, 0, 695, 34.76, 61.68, 0.0, 4095
607, 31, 0, 0, 351, 0, 718, 34.77, 61.37, 0.0, 4095
565, 25, 0, 0, 359, 0, 672, 34.81, 61.66, 0.0, 4095
534, 20, 0, 0, 358, 0, 689, 34.88, 60.72, 0.0, 4095
594, 29, 0, 0, 336, 0, 688, 34.88, 62.72, 0.0, 4095
615, 32, 0, 0, 355, 0, 723, 34.77, 62.20, 0.0, 4095
746, 52, 0, 0, 362, 0, 711, 34.64, 61.7, 0.0, 4095
1567, 220, 0, 0, 365, 0, 721, 34.46, 60.99, 0.0, 4095
688, 43, 0, 0, 369, 0, 704, 34.31, 60.6, 0.0, 4095
614, 32, 0, 0, 374, 0, 704, 34.31, 60.61, 0.0, 4095
710, 47, 0, 0, 387, 0, 698, 34.23, 61.81, 0.0, 4095
836, 66, 0, 0, 379, 0, 706, 34.22, 62.95, 0.0, 4095
692, 44, 0, 0, 373, 0, 681, 34.40, 61.86, 0.0, 4095
555, 23, 0, 0, 383, 0, 683, 34.42, 61.54, 0.0, 4095
461, 9, 0, 0, 400, 0, 720, 34.38, 59.62, 0.0, 4095
746, 52, 0, 0, 398, 0, 710, 34.43, 60.47, 0.0, 4095
754, 53, 0, 0, 397, 0, 731, 34.29, 60.80, 0.0, 4095
793, 59, 0, 0, 401, 0, 734, 34.18, 61.25, 1.364385, 4095
627, 34, 0, 0, 400, 0, 748, 34.16, 61.60, 1.012285, 4095
591, 29, 0, 0, 393, 0, 739, 34.8, 61.28, 0.9242607, 4095
686, 43, 0, 0, 401, 0, 727, 33.95, 62.74, 1.188335, 4095
772, 56, 0, 0, 409, 0, 720, 34.5, 63.1, 0.7041986, 4095
895, 75, 0, 0, 421, 0, 745, 34.18, 62.23, 11.13514, 4095
1071, 102, 0, 0, 401, 0, 709, 34.11, 63.9, 0.7922234, 4095
