eCO2, TVOC, CO, NH3, NO2, Hydrogen(MQ5), Methane(MQ4), Humidity, Temperature, Wind speed
400, 0, 0, 246, 0, 1456, 1680, 32.10, 63.54, 2.904819
470, 10, 0, 645, 0, 720, 1019, 32.20, 61.63, 3.036856
759, 54, 0, 976, 0, 482, 624, 32.33, 61.9, 2.772782
400, 0, 0, 1381, 0, 399, 464, 32.41, 60.39, 3.741055
523, 18, 0, 1659, 0, 355, 407, 32.47, 60.33, 4.049142
533, 20, 0, 1915, 0, 340, 354, 32.71, 60.51, 3.65303
483, 12, 0, 2182, 0, 320, 329, 32.86, 59.69, 2.860807
408, 1, 0, 2609, 0, 298, 303, 33.12, 58.87, 3.300931
1372, 148, 0, 2607, 0, 290, 301, 33.27, 58.90, 2.55272
617, 33, 0, 2624, 0, 276, 270, 33.47, 58.43, 2.904819
638, 36, 0, 2768, 0, 266, 272, 33.67, 58.31, 3.168894
405, 0, 0, 2969, 0, 246, 271, 33.78, 57.3, 3.080869
473, 11, 0, 3015, 0, 240, 256, 33.94, 57.0, 2.684757
549, 22, 0, 3024, 0, 238, 237, 34.9, 56.13, 3.520993
1497, 170, 0, 2893, 0, 249, 265, 34.35, 56.15, 2.948832
905, 76, 0, 2736, 0, 226, 233, 34.43, 56.7, 3.080869
1404, 152, 0, 2836, 0, 211, 223, 34.78, 54.67, 3.300931
752, 53, 0, 2704, 0, 208, 218, 35.1, 53.97, 3.080869
844, 67, 0, 2636, 0, 205, 203, 35.27, 53.29, 3.565006
531, 19, 0, 2734, 0, 213, 223, 35.33, 52.5, 3.256919
520, 18, 0, 2705, 0, 190, 192, 35.53, 51.74, 2.860807
539, 21, 0, 2685, 0, 189, 210, 35.77, 51.65, 3.565006
877, 72, 0, 2690, 0, 189, 193, 36.3, 51.92, 3.565006
1552, 208, 0, 2583, 0, 188, 206, 36.23, 50.62, 3.036856
634, 35, 0, 2450, 0, 178, 207, 36.38, 50.39, 3.785067
675, 41, 0, 2403, 0, 176, 192, 36.68, 49.25, 3.476981
589, 28, 0, 2307, 0, 179, 179, 36.88, 48.92, 2.684757
765, 55, 0, 2279, 0, 176, 179, 37.6, 48.26, 2.948832
840, 67, 0, 2260, 0, 176, 127, 37.33, 47.75, 3.917105
1281, 134, 0, 2174, 0, 179, 189, 37.60, 47.83, 2.508708
1573, 225, 0, 2225, 0, 147, 188, 37.62, 46.87, 3.344944
1077, 103, 0, 2093, 0, 175, 185, 37.95, 47.12, 3.520993
959, 85, 0, 2082, 0, 166, 174, 38.10, 46.32, 3.609018
565, 25, 0, 2163, 0, 158, 174, 38.26, 45.19, 3.697043
451, 7, 0, 2436, 0, 156, 176, 38.30, 43.57, 3.520993
612, 32, 0, 2298, 0, 151, 170, 38.54, 44.3, 2.640745
659, 39, 0, 2183, 0, 158, 164, 38.73, 44.26, 3.300931
1542, 200, 0, 2039, 0, 166, 180, 38.86, 44.9, 3.873092
1441, 158, 0, 1840, 0, 165, 179, 39.6, 44.12, 3.036856
1310, 138, 0, 1567, 0, 167, 180, 39.20, 43.90, 2.860807
1546, 204, 0, 1338, 0, 186, 192, 39.38, 42.85, 1.892534
2104, 928, 0, 1141, 0, 229, 244, 39.63, 43.49, 5.149452
1725, 363, 0, 1060, 0, 181, 230, 39.63, 42.16, 10.47495
1736, 374, 0, 832, 0, 192, 219, 39.71, 42.19, 0.0
870, 71, 0, 770, 0, 210, 216, 39.68, 41.92, 6.337787
1356, 145, 0, 736, 0, 213, 241, 39.83, 42.28, 3.124882
1540, 199, 0, 754, 0, 174, 208, 40.4, 41.71, 0.0
1487, 165, 0, 698, 0, 183, 227, 40.23, 40.90, 0.0
1385, 150, 0, 701, 0, 176, 205, 40.34, 41.63, 0.0
1295, 136, 0, 667, 0, 176, 198, 40.45, 41.92, 0.0
1147, 113, 0, 640, 0, 186, 191, 40.50, 40.65, 8.186309
1324, 140, 0, 629, 0, 162, 190, 40.72, 41.6, 7.570135
1739, 379, 0, 614, 0, 172, 208, 40.83, 40.26, 0.0
1573, 225, 0, 593, 0, 176, 210, 41.0, 40.6, 0.0
1453, 160, 0, 584, 0, 182, 203, 41.17, 40.3, 0.0
1367, 147, 0, 563, 0, 176, 190, 41.28, 39.58, 0.0
1598, 243, 0, 558, 0, 176, 205, 41.30, 39.84, 0.0
1903, 590, 0, 507, 0, 199, 234, 41.44, 41.71, 0.0
1245, 128, 0, 525, 0, 182, 213, 41.59, 39.73, 0.0
1800, 450, 0, 528, 0, 195, 237, 41.68, 40.3, 0.0
1919, 614, 0, 541, 0, 182, 240, 41.79, 38.98, 16.37262
1690, 329, 0, 549, 0, 195, 240, 41.78, 38.90, 10.03483
